0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
44,d_19300701,46.7,24,3.8,1.3,0,0,9.3,6.5,2.1,0.1,0
29.6,d_19300801,64.3,42.1,11.8,2.8,0.4,0,6.1,2.2,0,0,0
27.3,d_19300901,71.5,50.6,15.7,1.8,0,0,1.3,0.1,0,0,0
53.4,d_19301001,30.4,15.2,1.8,0.5,0,0,16.1,4.8,0.5,0.1,0
54.8,d_19301101,19.6,9.7,0.3,0,0,0,25.5,9.9,2.3,0.8,0.1
58.1,d_19301201,17.5,8.6,1,0.1,0,0,24.5,7.9,1.3,0.2,0
45.6,d_19310101,15.1,5,1,0,0,0,39.3,25.3,3.7,0.6,0
51.4,d_19310201,7.7,3.6,0.8,0,0,0,40.8,22.7,2.8,0,0
46.6,d_19310301,3.1,1.1,0,0,0,0,50.4,33.9,2.8,0.1,0
24.3,d_19310401,2.4,1.3,0,0,0,0,73.3,52.3,15.8,4.2,0
26.4,d_19310501,3.1,1.8,0.1,0,0,0,70.5,51.3,20.5,10.3,3.3
31.1,d_19310601,3.3,1.8,0.2,0,0,0,65.6,48.5,31.1,21.7,10.1
48.3,d_19310701,9.7,3.6,0.2,0,0,0,42,34,20.9,11.1,5.8
40.5,d_19310801,19.6,6.1,0.3,0,0,0,39.9,30.2,13,9.4,4.3
37,d_19310901,41.2,25.4,4.8,0.5,0,0,21.8,13.4,6.6,3.1,0.7
44.5,d_19311001,43.7,24,2.1,0.1,0,0,11.9,5.4,0.9,0,0
40.8,d_19311101,48.9,29.9,11.9,3.5,0,0,10.3,3.9,0.6,0,0
49.8,d_19311201,36.5,20.3,5.4,1.3,0,0,13.6,8.2,1.1,0,0
60,d_19320101,19.4,5.6,1.2,0,0,0,20.5,9.7,0.7,0.1,0
60.2,d_19320201,4.5,1.9,0,0,0,0,35.3,20.7,4.7,2.1,0.4
58.9,d_19320301,4.1,1.2,0,0,0,0,37.1,21.9,6.7,4.2,1.2
54.1,d_19320401,7.1,2.6,0.1,0,0,0,38.8,17.6,5.2,2.1,0.3
